name,comments,pr,issues,handle_issue
alisonelizabeth,0,1,2,0
nicholasklem,0,1,1,0
azolotko,0,1,1,0
bartvastgoed,0,0,2,0
ashisheric,0,0,2,0
Prasannasaraf,1,2,2,0
raicast,0,0,1,0
ct0br0,0,0,1,0
simpleuser99,0,0,1,0
weberhofer,1,0,6,0
sramichetty,0,1,1,0
phillipross,0,0,2,0
huajawad2480,0,0,1,0
EmmanuelDemey,1,7,7,0
KarboniteKream,0,1,1,0
Hedgehogues,0,0,2,0
erzz99,0,1,1,0
birnam,1,2,2,0
redbaron4,0,0,1,0
sunny868,0,0,3,0
sunilthemaster,0,0,1,0
jacool,0,0,5,0
JosanSun,0,1,1,0
tstoco,0,0,1,0
Strum355,0,0,1,0
pierremalletneo9,0,0,1,0
skdasarin00b,0,0,2,0
andrejbl,0,0,2,0
jacobmathewssoffit,0,0,1,0
utkonos,0,0,1,0
jtreher,23,0,5,0
jessin20161124,0,0,1,0
JacobBrandt,0,0,2,0
Hemric,0,0,1,0
seanmcrw,0,1,1,0
daftano,0,1,1,0
chie8842,0,0,1,0
tzachshabtay,0,0,1,0
sanjaysahu-git,0,0,1,0
thePanz,0,0,1,0
tsouza,4,6,15,0
javiruiz01,0,1,1,0
entrop-tankos,0,0,1,0
fdartayre,0,0,2,0
Noctis17,0,0,1,0
saiprathapreddy,0,0,1,0
rikardbakkehaug,0,1,1,0
jillesvangurp,31,4,17,0
andrewnaguib,5,1,1,0
heraklos,0,1,1,0
PMickael,0,0,3,0
leakid,0,0,2,0
AshishKumarUpadhye,0,0,1,0
MachSphere,0,1,1,0
machine424,0,0,1,0
dileep2614,0,0,1,0
qianyuxiang01,0,3,3,0
Bamieh,0,1,2,0
frangarcia,1,1,1,0
juliank,0,0,1,0
fengyong,0,0,1,0
timtutt,0,0,1,0
wuyunfeng,3,4,8,0
arunyenumula,0,0,1,0
lilysikes,0,0,1,0
yatendragoel,0,0,1,0
aeroastro,0,4,4,0
null-pointer-byte,0,0,1,0
crakerkai,0,0,1,0
jameslamb,0,1,1,0
gregwjacobs,0,0,1,0
gaohanghang,0,1,1,0
YasiruDev,0,0,1,0
LiuZeng520,0,0,2,0
dschneiter,0,1,3,0
mihai1voicescu,0,0,2,0
